,Dex #,Item,Ability ,Move A,Move B,Move C,Move D,Nature,IVs *,HP,Atk,Def,Sp.Atk,Sp.Def,Speed,Notes,,,,,,Test,,
Espeon,196,--,Synchronize,Zen Headbutt,Swift,Attract,Zap Cannon,Impish,5,266,161,166,261,221,251,,,,,,,,,
Umbreon,197,--,Synchronize,Assurance,Psychic,Confuse Ray,Snatch,Quiet,20,320,192,245,200,285,121,,,,,,,,,
Murkrow,198,--,Insomnia,Fly,Sucker Punch,Heat Wave,Feather Dance,Hasty,16,267,212,113,212,126,246,,,,,,,,,
Slowking,199,--,Oblivious,Surf,Zen Headbutt,Shadow Ball,Thunder Wave,Lonely,8,329,202,174,234,254,94,,,,,,,,,
Misdreavus,200,--,Levitate,Shadow Ball,Thunderbolt,Pain Split,Perish Song,Docile,13,264,159,159,209,209,209,,,,,,,,,
Unown,201,Choice Specs,Levitate,HP Psychic 70,--,--,--,Modest,22,244,154,140,258,140,139,,,,,,,,,
Wobbuffet,202,--,Shadow Tag,Counter,Mirror Coat,Safeguard,Mimic,Naive,31,521,134,136,134,136,181,,,,,,,,,
Girafarig,203,--,Early Bird,Zen Headbutt,Double Hit,Double Kick,Agility,Bashful,31,344,196,198,216,198,206,,,,,,,,,
Pineco,204,--,Sturdy,Explosion,Earthquake,Curse,Rock Slide,Brave,31,260,251,216,106,151,31,,,,,,,,,
Forretress,205,--,Sturdy,Bug Bite,HP Fire 70,Spikes,Stealth Rock,Sassy,31,300,224,325,177,190,103,,,,,,,,,
Dunsparce,206,--,Serene Grace,Strength,Dig,Rock Slide,Glare,Quirky,15,346,181,181,171,171,131,,,,,,,,,
Gligar,207,--,Hyper Cutter,Dig,Stone Edge,Swagger,Torment,Timid,31,334,139,246,106,191,269,,,,,,,,,
Steelix,208,--,Sturdy,Iron Tail,Dig,Aqua Tail,Giga Impact,Modest,6,287,181,411,179,162,92,,,,,,,,,
Snubbull,209,--,Intimidate,Sludge Bomb,Crunch,Fire Blast,Thunder,Careful,31,297,196,156,104,182,117,,,,,,,,,
Granbull,210,--,Quick Feet,Facade,Superpower,Payback,Thunder,Naive,12,323,278,188,158,142,140,,,,,,,,,
Qwilfish,211,--,Poison Point,Waterfall,Poison Jab,Shock Wave,Minimize,Bold,14,275,207,209,150,150,210,,,,,,,,,
Scizor,212,--,Technician,X-Scissor,Metal Claw,Superpower,Agility,Timid,0,250,238,205,115,165,148,,,,,,,,,
Shuckle ,213,--,Sturdy,Stone Edge,Gyro Ball,Bide,Power Trick,Brave,31,244,130,496,56,496,13,,,,,,,,,
Heracross,214,--,Swarm,Megahorn,Arm Thrust,Headbutt,Harden,Modest,0,292,229,176,93,216,175,,,,,,,,,
Sneasel,215,--,Keen Eye,Ice Punch,Bite,X-Scissor,Attract,Brave,14,255,253,150,110,190,243,,,,,,,,,
Teddiursa,216,--,Quick Feet,Flail,Thunder Punch,Yawn,Endure,Jolly,31,286,221,161,122,161,157,,,,,,,,,
Ursaring,217,--,Guts,Scratch,Lick,Bulk Up,Roar,Hasty,31,343,359,186,186,207,190,,,,,,,,,
Slugma,218,--,Magma Armor,Fire Blast,Earth Power,Yawn,Ancient Power,Modest,31,238,104,162,212,162,76,,,,,,,,,
Magcargo,219,--,Flame Body,Lava Plume,Ancient Power,Pain Split,Sandstorm,Timid,31,265,122,280,232,196,174,,,,,,,,,
Swinub,220,--,Thick Fat,Earthquake,Rock Slide,Ice Shard,Endeavor,Adamant,31,282,173,148,86,128,136,,,,,,,,,
Piloswine,221,--,Oblivious,Avalanche,Mud Bomb,Body Slam,Stone Edge,Quiet,31,401,236,216,201,176,122,,,,,,,,,
Corsola,222,--,Hustle,Stone Edge,Surf,Mirror Coat,Attract,Quiet,19,260,175,215,192,215,85,,,,,,,,,
Remoraid,223,--,Sniper,Water Spout,Brine,Hyper Beam,Charge Beam,Timid,26,207,144,101,224,101,246,,,,,,,,,
Octillery,224,--,Suction Cups,Octazooka,Rock Blast,Wring Out,Thunder Wave,Sassy,31,314,275,209,275,229,113,,,,,,,,,
Delibird,225,--,Hustle,Ice Punch,Aerial Ace,Brick Break,Ice Shard,Adamant,31,253,229,126,149,126,228,,,,,,,,,
Mantine,226,--,Water Veil,Bubble Beam,Bounce,Psybeam,Haze,Brave,10,271,150,176,196,295,198,,,,,,,,,
Skarmory,227,--,Keen Eye,Steel Wing,Spikes,Whirlwind,Rock Slide,Gentle,10,271,196,284,116,193,176,,,,,,,,,
Houndour,228,--,Flash Fire,Overheat,Dark Pulse,Solar Beam,Sunny Day,Timid,31,253,140,117,238,156,228,,,,,,,,,
Houndoom,229,--,Early Bird,Heat Wave,Bite,Thunder Fang,Roar,Impish,7,288,213,146,227,193,223,,,,,,,,,
Kingdra,230,Scope Lens,Sniper,Water Gun,Razor Wind,Focus Energy,Substitute,Bashful,31,325,226,246,258,246,227,,,,,,,,,
Phanpy,231,--,Sand Veil,Earthquake,Body Slam,Double Team,Sandstorm,Jolly,31,321,190,187,104,148,160,,,,,,,,,
Donphan,232,--,Sturdy,Magnitude,Ice Shard,Rapid Spin,Stealth Rock,Careful,7,318,273,273,137,168,133,,,,,,,,,
Porygon2,233,--,Trace,Tri Attack,Discharge,Toxic,Magic Coat,Docile,6,307,192,212,242,222,152,,,,,,,,,
Stantler,234,--,Intimidate,Stomp,Shadow Ball,Zen Headbutt,Hypnosis,Quirky,10,287,226,160,206,166,206,,,,,,,,,
Smeargle ,235,--,Own Tempo,Judgement,Seed Flare,Spacial Rend,Spore,Modest,31,252,68,106,152,126,249,,,,,,,,,
Tyrogue,236,--,Guts,High Jump Kick,Earthquake,Rock Slide,Swagger,Adamant,31,211,185,106,95,106,169,,,,,,,,,
Hitmontop,237,--,Technician,Triple Kick,Aerial Ace,Bullet Punch,Pursuit,Hardy,29,239,224,224,104,254,174,,,,,,,,,
Smoochum,238,--,Oblivious,Ice Beam,Psychic,Calm Mind,Nasty Plot,Timid,31,263,86,98,228,175,217,,,,,,,,,
Elekid,239,--,Static,Thunderbolt,Ice Punch,Flash,Light Screen,Lonely,20,221,189,108,196,156,236,,,,,,,,,
Magby,240,--,Flame Body,Flamethrower,Cross Chop,Confuse Ray,Smokescreen,Naive,20,231,196,120,196,140,233,,,,,,,,,
Miltank,241,--,Scrappy,Present,Rollout,Milk Drink,Bide,Adamant,8,329,259,223,83,174,234,,,,,,,,,
Blissey,242,--,Serene Grace,Giga Impact,Ice Punch,Gravity,Metronome,Naughty,31,661,130,66,196,275,180,,,,,,,,,
Raikou,243,--,Pressure,Thunder Fang,Extreme Speed,Crunch,Roar,Rash,31,343,206,207,361,231,266,,,,,,,,,
Entei,244,--,Pressure,Fire Fang,Stomp,Rock Smash,Roar,Bashful,0,361,256,196,206,176,226,,,,,,,,,
Suicune,245,--,Pressure,Brine,Air Slash,Mist,Roar,Timid,0,310,139,235,185,235,226,,,,,,,,,
Larvitar,246,--,Guts,Earthquake,Stone Edge,Bite,Dragon Dance,Jolly,31,300,207,136,113,136,156,,,,,,,,,
Pupitar,247,--,Shed Skin,Dig,Rock Slide,Rest,Rock Polish,Bold,31,344,183,217,166,217,138,,,,,,,,,
Tyranitar ,248,--,Sand Stream,Crunch,Stone Edge,Fire Punch,Outrage,Naive,0,310,273,225,195,184,154,,,,,,,,,
Lugia,249,--,Pressure,Aeroblast,Future Sight,Defog,Mimic,Naughty,0,322,203,265,185,281,225,,,,,,,,,
Ho-Oh ,250,--,Pressure,Heat Wave,Weather Ball,Sandstorm,Tailwind,Impish,0,322,265,203,202,313,185,,,,,,,,,
Celebi,251,--,Natural Cure,Magical Leaf,Confusion,Water Pulse,Metronome,Bashful,0,330,225,225,225,225,225,,,,,,,,,
Treecko,252,--,Overgrow,Leaf Storm,Energy Ball,Dragon Breath,Endure,Timid,31,222,113,106,229,146,262,,,,,,,,,
Grovyle,253,--,Overgrow,Seed Bomb,X-Scissor,Thunder Punch,Swords Dance,Adamant,31,262,228,147,185,187,247,,,,,,,,,
Sceptile,254,--,Overgrow,Leaf Blade,Dragon Claw,Aerial Ace,Safeguard,Hardy,4,275,210,160,230,200,270,,,,,,,,,
Torchic,255,--,Speed Boost,Overheat,Rock Tomb,Low Kick,Protect,Rash,31,238,191,116,240,122,168,,,,,,,,,
Combusken,256,--,Speed Boost,Fire Blast,Sky Uppercut,Night Slash,Aerial Ace,Hardy,31,282,227,177,227,177,167,,,,,,,,,
Blaziken,257,--,Blaze,Blaze Kick,Double Kick,Aerial Ace,Stone Edge,Timid,0,295,243,170,250,170,209,,,,,,,,,
Mudkip,258,--,Torrent,Waterfall,Superpower,Avalanche,Attract,Adamant,0,262,262,157,122,157,116,,,,,,,,,
Marshtomp,259,--,Torrent,Hydro Pump,Earthquake,Sludge,Rock Slide,Modest,16,287,171,182,201,182,142,,,,,,,,,
Swampert,260,--,Torrent,Dive,Mud Bomb,Ice Ball,Mirror Coat,Modest,4,335,225,210,220,210,150,,,,,,,,,
Poochyena,261,--,Quick Feet,Super Fang,Sucker Punch,Snatch,Swagger,Adamant,31,232,229,127,86,117,106,,,,,,,,,
Mightyena,262,--,Intimidate,Crunch,Fire Fang,Giga Impact,Howl,Jolly,15,286,221,181,144,161,199,,,,,,,,,
Zigzagoon,263,--,Gluttony,Thunder,Extreme Speed,Odor Sleuth,Belly Drum,Adamant,31,279,174,119,86,119,156,,,,,,,,,
Linoone,264,--,Pickup,Headbutt,Pursuit,Flail,Belly Drum,Jolly,15,302,181,163,126,163,265,,,,,,,,,
Wurmple,265,--,Serene Grace,Twinneedle,Dig,Cotton Spore,Endure,Impish,31,294,132,130,68,112,105,,,,,,,,,
Silcoon,266,--,Shed Skin,Attack Order,Headbutt,Teeter Dance,Thunder Wave,Jolly,31,273,138,146,77,86,141,,,,,,,,,
Beautifly,267,--,Rivalry,Bug Buzz,Psychic ,Whirlwind,Morning Sun,Modest,31,324,158,157,260,136,187,,,,,,,,,
Cascoon,268,--,Shed Skin,Attack Order,Iron Head,Swagger,Scary Face,Careful,31,273,137,178,77,129,66,,,,,,,,,
Dustox,269,--,Compound Eyes,Bug Buzz,Psychic,Energy Ball,Moonlight,Calm,31,297,122,198,183,237,188,,,,,,,,,
Lotad,270,--,Swift Swim,Surf,Energy Ball,Blizzard,Rain Dance,Modest,31,243,86,117,173,149,124,,,,,,,,,
Lombre,271,--,Own Tempo,Hydro Pump,Giga Drain,Blizzard,Teeter Dance,Modest,31,285,128,160,198,200,160,,,,,,,,,
Ludicolo,272,--,Rain Dish,Dive,HP Bug 70,Rain Dance,Leech Seed,Naughty,31,304,196,179,219,215,179,,,,,,,,,
Seedot,273,--,Chlorophyll,Seed Bomb,Sunny Day,Swords Dance,Return (102),Adamant,31,221,196,136,86,96,159,,,,,,,,,
Nuzleaf,274,--,Chlorophyll,Energy Ball,Dark Pulse,Nasty Plot,Sunny Day,Timid,22,293,151,128,188,128,184,,,,,,,,,
Shiftry,275,--,Early Bird,Leaf Storm,Feint Attack,Nature Power,Tailwind,Adamant,9,320,258,155,193,155,195,,,,,,,,,
Taillow,276,--,Guts,Brave Bird,Return (102),Endure,Endeavor,Adamant,31,222,229,96,86,96,269,,,,,,,,,
Swellow,277,--,Scrappy,Air Slash,Hyper Beam,Heat Wave,Ominous Wind,Modest,31,283,185,177,218,157,286,,,,,,,,,
Wingull,278,--,Rain Dish,Air Slash,Water Pulse,Blizzard,Tailwind,Modest,31,222,86,96,229,96,269,,,,,,,,,
Pelipper,279,--,Keen Eye,Brine,Air Cutter,Spit Up,Stockpile,Calm,14,265,107,240,210,200,190,,,,,,,,,
Ralts,280,--,Synchronize,Psychic,Signal Beam,Taunt,Destiny Bond,Timid,31,198,77,86,189,106,196,,,,,,,,,
Kirlia,281,--,Trace,Psychic,Shadow Ball,Will-O-Wisp,Calm Mind,Modest,28,235,111,124,202,164,154,,,,,,,,,
Gardevoir,282,--,Trace,Psychic,Magical Leaf,Shadow Sneak,Magic Coat,Adamant,5,272,177,161,252,261,191,,,,,,,,,
Surskit,283,--,Swift Swim,Hydro Pump,Signal Beam,Ice Beam,Rain Dance,Modest,31,263,86,122,218,140,166,,,,,,,,,
Masquerain,284,--,Intimidate,Bug Buzz,Air Slash,Hydro Pump,Roost,Calm,15,286,144,165,201,225,161,,,,,,,,,
Shroomish,285,--,Poison Heal,Seed Bomb,Focus Punch,Spore,Swords Dance,Adamant,31,321,196,158,104,158,106,,,,,,,,,
Breloom,286,--,Technician,Superpower,Giga Drain,Giga Impact,Spore,Mild,11,262,276,177,195,157,177,,,,,,,,,
Slakoth,287,--,Truant,Rock Tomb,Brick Break,Toxic,Fire Blast,Adamant,31,283,240,156,95,127,117,,,,,,,,,
Vigoroth,288,--,Vital Spirit,Thunder,Shadow Claw,Low Kick,Taunt,Adamant,13,304,218,199,134,149,219,,,,,,,,,
Slaking,289,--,Truant,Strength,Punishment,Yawn,Slack Off,Hasty,0,431,346,203,216,156,248,,,,,,,,,
Nincada,290,--,Compound Eyes,X-Scissor,Dig,Night Slash,Swagger,Adamant,31,266,207,216,86,97,116,,,,,,,,,
Ninjask,291,--,Speed Boost,Bug Bite,Aerial Ace,Dig,Swords Dance,Quiet,31,305,216,168,149,178,320,,,,,,,,,
Shedinja*,292,--,Wonder Guard,X-Scissor,Shadow Sneak,Will-O-Wisp,Giga Impact,Adamant,31,1,279,113,96,96,196,,,,,,,,,
Whismur,293,--,Soundproof,Hyper Voice,Fire Blast,Blizzard,Shadow Ball,Modest,31,285,124,98,221,98,108,,,,,,,,,
Loudred,294,--,Soundproof,Facade,Fire Blast,Extrasensory,Fake Tears,Modest,31,334,160,147,225,147,157,,,,,,,,,
Exploud,295,--,Scrappy,Giga Impact,Snore,Rock Slide,Rest,Modest,31,370,196,183,309,183,172,,,,,,,,,
Makuhita,296,--,Thick Fat,Revenge,Focus Punch,Payback,Bullet Punch,Adamant,31,306,240,117,68,117,86,,,,,,,,,
Hariyama,297,--,Guts,Brick Break,Payback,Rest,Sleep Talk,Serious,15,413,260,140,100,140,120,,,,,,,,,
Azurill,298,--,Huge Power,Body Slam,Waterfall,Attract,Charm,Adamant,31,262,152,137,68,137,76,,,,,,,,,
Nosepass,299,--,Sturdy,Ancient Power,Thunder,Earth Power,HP Water 70,Sassy,31,264,147,306,147,261,86,,,,,,,,,
Skitty,300,--,Normalize,Zen Headbutt,Shadow Ball,Swagger,Thunder,Careful,31,283,156,150,95,150,136,,,,,,,,,
Delcatty,301,--,Normalize,Rollout,Defense Curl,Sing,Foresight,Jolly,31,344,175,166,131,155,244,,,,,,,,,
Sableye,302,--,Stall,Payback,Octazooka,Magic Coat,Snatch,Quiet,31,304,186,197,228,177,122,,,,,,,,,
Mawile,303,--,Intimidate,Iron Head,Fire Fang,Sucker Punch,Swords Dance,Jolly,19,250,215,215,139,155,159,,,,,,,,,
Aron,304,--,Rock Head,Head Smash,Iron Head,Superpower,Rock Polish,Jolly,31,266,201,261,104,141,135,,,,,,,,,
Lairon,305,--,Sturdy,Stone Edge,Iron Head,Outrage,Metal Burst,Careful,31,324,216,316,122,173,158,,,,,,,,,
Aggron,306,--,Sturdy,Dragon Pulse,Stealth Rock,Thunderbolt,Metal Sound,Modest,14,286,202,379,222,161,139,,,,,,,,,
Meditite,307,--,Pure Power,High Jump Kick,Zen Headbutt,Bullet Punch,Meditate,Jolly,28,219,134,164,120,164,191,,,,,,,,,
Medicham,308,--,Pure Power,Fake Out,Psycho Cut,Force Palm,Power Trick,Bold,16,267,126,234,141,213,202,,,,,,,,,
Electrike,309,--,Static,Thunderbolt,Flamethrower,Mud-Slap,Charge,Timid,31,242,113,116,229,116,229,,,,,,,,,
Manectric,310,--,Static,Shock Wave,HP Ice 70,Fire Fang,Magnet Rise,Serious,31,301,220,179,261,179,256,,,,,,,,,
Plusle,311,--,Plus,Discharge,Grass Knot,Charge Beam,Encore,Timid,16,267,127,122,212,192,255,,,,,,,,,
Minun,312,--,Minus,Thunder,Grass Knot,Trump Card,Fake Tears,Timid,16,267,109,142,192,212,255,,,,,,,,,
Volbeat,313,--,Swarm,Signal Beam,Thunder,Attract,Tail Glow,Modest,31,285,163,159,212,199,230,,,,,,,,,
Illumise,314,--,Tinted Lens,Bug Buzz,Shock Wave,Growth,Moonlight,Timid,17,278,123,153,189,193,234,,,,,,,,,
Roselia,315,--,Poison Point,Energy Ball,Extrasensory,Growth,Water Sport,Calm,31,262,159,147,257,238,187,,,,,,,,,
Gulpin,316,--,Liquid Ooze,Gunk Shot,Nightmare,Yawn,Protect,Adamant,31,344,203,142,109,143,116,,,,,,,,,
Swalot,317,--,Liquid Ooze,Giga Impact,Seed Bomb,Fire Punch,Earthquake,Quiet,10,341,182,202,200,202,131,,,,,,,,,
Carvanha,318,--,Speed Boost,Crunch,Waterfall,Destiny Bond,Blizzard,Bold,31,231,232,113,166,113,186,,,,,,,,,
Sharpedo,319,--,Speed Boost,Aqua Jet,Crunch,Avalanche,Giga Impact,Bashful,11,282,277,117,227,117,227,,,,,,,,,
Wailmer,320,--,Water Veil,Water Spout ,Blizzard,Fissure,Self-Destruct,Naive,17,408,183,113,183,101,179,,,,,,,,,
Wailord ,321,--,Water Veil,Water Spout ,Bounce,Iron Head,Tickle,Brave,31,481,203,189,185,189,112,,,,,,,,,
Numel,322,--,Simple,Rock Slide,Earthquake,Double Team,Stockpile,Timid,31,277,140,132,182,142,185,,,,,,,,,
Camerupt,323,--,Solid Rock,Eruption,Flamethrower,Magnitude,Fissure,Docile,11,282,237,177,247,187,117,,,,,,,,,
Torkoal,324,Grip Claw,White Smoke,Heat Wave,Earthquake,Toxic,Protect,Calm,31,344,185,316,249,216,76,,,,,,,,,
Spoink,325,--,Thick Fat,Psychic,Signal Beam,Magic Coat,Calm Mind,Careful,31,283,86,106,177,284,177,,,,,,,,,
Grumpig,326,--,Own Tempo,Focus Blast,Energy Ball,Power Gem,Reflect,Bashful,10,301,126,166,216,256,196,,,,,,,,,
Spinda,327,--,Tangled Feet,Thrash,Sucker Punch,Drain Punch,Teeter Dance,Adamant,31,303,194,177,140,177,177,,,,,,,,,
Trapinch,328,--,Hyper Cutter,Earthquake,Crunch,Fissure,Sand Attack,Adamant,27,248,278,143,128,143,73,,,,,,,,,
Vibrava,329,--,Levitate,Dragon Claw,Rock Tomb,Fly,Tailwind,Adamant,22,253,206,148,133,148,188,,,,,,,,,
Flygon,330,--,Levitate,Dragon Pulse,Dig,Gust,Mimic,Timid,5,319,207,191,198,191,220,,,,,,,,,
Cacnea,331,--,Water Absorb,Energy Ball,Dark Pulse,Grass Whistle,Nasty Plot,Timid,31,242,185,116,269,116,185,,,,,,,,,
Cacturne,332,--,Sand Veil,Needle Arm,Payback,Cotton Spore,Sandstorm,Bashful,9,280,265,155,265,155,145,,,,,,,,,
Swablu,333,--,Cloud Nine,Hyper Voice,Air Cutter,Ice Beam,Mud-Slap,Modest,31,258,104,156,196,186,173,,,,,,,,,
Altaria,334,--,Cloud Nine,Pluck,Giga Impact,Heat Wave,Dragon Dance,Bashful,4,285,170,210,170,240,190,,,,,,,,,
Zangoose,335,--,Immunity,Crush Claw,Shadow Claw,Metal Claw,Counter,Serious,11,288,267,157,157,157,217,,,,,,,,,
Seviper,336,--,Shed Skin,Poison Tail,Aqua Tail,Glare,Screech,Adamant,11,288,260,157,213,157,167,,,,,,,,,
Lunatone,337,--,Levitate,Psychic,Ancient Power,Calm Mind,Trick Room,Brave,13,284,185,169,229,209,143,,,,,,,,,
Solrock,338,--,Levitate,Stone Edge,Zen Headbutt,Will-O-Wisp,Cosmic Power,Quiet,13,284,249,209,163,169,143,,,,,,,,,
Barboach,339,--,Oblivious,Aqua Tail,Magnitude,Fissure,Dragon Dance,Adamant,27,258,163,139,130,135,173,,,,,,,,,
Whiscash,340,--,Oblivious,Muddy Water,Magnitude,Spark,Captivate,Serious,10,361,192,182,188,178,156,,,,,,,,,
Corphish,341,--,Adaptability,Crabhammer,Guillotine,Taunt,Dragon Dance,Careful,31,248,217,187,122,139,148,,,,,,,,,
Crawdaunt,342,--,Hyper Cutter,Crabhammer,Dark Pulse,Rock Smash,Guillotine,Lax,10,267,276,226,216,131,146,,,,,,,,,
Baltoy,343,--,Levitate,Earthquake,Psychic,Trick Room,Explosion,Sassy,31,284,116,178,116,228,103,,,,,,,,,
Claydol,344,--,Levitate,Earth Power,Zen Headbutt,Gravity,Self-Destruct,Serious,7,258,173,243,173,273,183,,,,,,,,,
Lileep,345,--,Suction Cups,Energy Ball,Rock Tomb,Confuse Ray,Recover,Calm,21,284,116,201,169,243,93,,,,,,,,,
Cradily,346,--,Suction Cups,Giga Impact,Stone Edge,Swords Dance,Ingrain,Serious,14,330,236,222,182,240,126,,,,,,,,,
Anorith,347,--,Battle Armor,X-Scissor,Rock Slide,Rock Polish,Swords Dance,Jolly,21,241,238,145,131,130,216,,,,,,,,,
Armaldo,348,--,Battle Armor,X-Scissor,Rock Blast,Earthquake,Mud Sport,Modest,8,289,255,234,191,194,124,,,,,,,,,
Feebas,349,--,Adaptability,Waterfall,Frustration (102),Hypnosis,Tickle,Adamant,31,182,141,76,50,146,259,,,,,,,,,
Milotic,350,--,Marvel Scale,Water Pulse,Dragon Pulse,Mirror Coat,Mud Sport,Serious,3,324,149,187,229,279,191,,,,,,,,,
Castform,351,--,Forecast,Weather Ball,Hail,Rain Dance,Sunny Day,Timid,15,286,144,181,181,181,221,,,,,,,,,
Kecleon,352,--,Color Change,Shadow Claw,Sucker Punch,Drain Punch,Skill Swap,Quiet,13,306,198,221,152,258,189,,,,,,,,,
Shuppet,353,--,Insomnia,Shadow Force,Secret Power,Disable,Protect,Jolly,31,249,230,106,145,102,207,,,,,,,,,
Banette,354,--,Insomnia,Shadow Claw,Sucker Punch,Taunt,Screech,Mild,11,270,267,150,223,163,167,,,,,,,,,
Duskull,355,--,Levitate,Night Shade,Confuse Ray,Will-O-Wisp,Curse,Bold,27,240,107,256,99,233,89,,,,,,,,,
Dusclops,356,--,Pressure,Shadow Punch,Ice Punch,Curse,Trick Room,Quirky,11,222,177,297,157,297,87,,,,,,,,,
Tropius,357,--,Solar Power,Solar Beam,Air Slash,Sunny Day,Synthesis,Modest,11,340,155,203,199,211,139,,,,,,,,,
Chimecho,358,--,Levitate,Extrasensory,Hyper Voice,Yawn,Healing Wish,Bold,31,301,149,196,245,216,171,,,,,,,,,
Absol,359,--,Super Luck,Night Slash,Superpower,Shock Wave,Will-O-Wisp,Modest,10,271,266,156,204,156,186,,,,,,,,,
Wynaut,360,--,Shadow Tag,Counter,Mirror Coat,Encore,Safeguard,Quirky,30,351,102,152,102,152,102,,,,,,,,,
Snorunt,361,--,Ice Body,Avalanche,Crunch,Ice Shard,Disable,Adamant,31,263,216,158,122,158,136,,,,,,,,,
Glalie,362,--,Ice Body,Earthquake,Avalanche,Giga Impact,Gyro Ball,Serious,9,300,195,195,195,195,195,,,,,,,,,
Spheal,363,--,Ice Body,Super Fang,Brine,Hail,Protect,Modest,27,298,119,153,179,153,103,,,,,,,,,
Sealeo,364,--,Thick Fat,Aurora Beam,Water Pulse,Signal Beam,Roar,Docile,31,346,156,201,213,201,151,,,,,,,,,
Walrein,365,--,Thick Fat,Dive,Ice Ball,Defense Curl,Encore,Hardy,4,355,190,210,220,210,160,,,,,,,,,
Clamperl,366,--,Shell Armor,Muddy Water,Ice Beam,Confuse Ray,Barrier,Modest,31,274,147,206,271,147,100,,,,,,,,,
Huntail,367,Grip Claw,Water Veil,Clamp,Rock Tomb,Aqua Ring,Protect,Relaxed,31,314,244,275,224,246,126,,,,,,,,,
Gorebyss,368,--,Swift Swim,Aqua Tail,Brine,Psychic,Rain Dance,Adamant,24,244,216,239,231,179,133,,,,,,,,,
Relicanth,369,--,Rock Head,Stone Edge,Brine,Giga Impact,Water Sport,Modest,9,340,166,295,160,165,146,,,,,,,,,
Luvdisc,370,--,Swift Swim,Waterfall,Bounce,Attract,Sweet Kiss,Adamant,23,233,166,152,97,172,243,,,,,,,,,
Bagon,371,--,Rock Head,Shadow Claw,Fire Blast,Rock Tomb,Dragon Dance,Naughty,31,250,214,175,117,143,152,,,,,,,,,
Shelgon,372,--,Rock Head,Dragon Rush,Crunch,Zen Headbutt,Iron Defense,Careful,15,276,231,241,144,155,141,,,,,,,,,
Salamence,373,--,Intimidate,Aerial Ace,Rock Slide,Flamethrower,Focus Energy,Timid,0,300,247,165,225,165,225,,,,,,,,,
Beldum,374,--,Clear Body,Iron Head,Zen Headbutt,Take Down,Iron Defense,Adamant,26,237,205,212,90,172,108,,,,,,,,,
Metang,375,--,Clear Body,Meteor Mash,Rock Slide,Earthquake,Agility,Adamant,15,266,210,241,135,201,141,,,,,,,,,
Metagross,376,--,Clear Body,Psychic,Metal Claw,Hyper Beam,Magnet Rise,Jolly,0,270,275,265,175,185,159,,,,,,,,,
Regirock,377,--,Clear Body,Stone Edge,Hammer Arm,Fire Punch,Giga Impact,Mild,0,280,225,365,125,215,115,,,,,,,,,
Regice,378,--,Clear Body,Blizzard,Zap Cannon,Flash Cannon,Lock-On,Naughty,0,280,125,215,215,365,115,,,,,,,,,
Registeel,379,--,Clear Body,Iron Head,Focus Blast,Rollout,Rock Polish,Hardy,0,275,160,310,160,310,110,,,,,,,,,
Latias,380,--,Levitate,Mist Ball,Dragon Claw,Psycho Shift,Role Play,Bashful,0,270,165,185,225,265,225,,,,,,,,,
Latios,381,--,Levitate,Luster Purge,Dragon Breath,Heal Block,Memento,Hardy,0,270,185,165,265,225,225,,,,,,,,,
Kyogre,382,Grip Claw,Drizzle,Whirlpool,Thunder,Iron Head,Hail,Adamant,0,310,225,185,275,285,185,,,,,,,,,
Groudon,383,--,Drought,Earth Power,Lava Plume,Scary Face,Sandstorm,Jolly,0,310,305,285,184,185,203,,,,,,,,,
Rayquaza,384,--,Air Lock,Dragon Claw,Uproar,Rock Smash,Scary Face,Modest,0,320,274,185,346,185,205,,,,,,,,,
Jirachi,385,--,Serene Grace,Giga Impact,Zen Headbutt,Body Slam,Protect,Modest,0,310,185,205,225,205,225,,,,,,,,,
Deoxys-Normal,386,--,Pressure,Thunder Punch,Dark Pulse,Drain Punch,Torment,Timid,0,250,275,145,305,145,335,,,,,,,,,
Deoxys-Attack,386,--,Pressure,Brick Break,Zen Headbutt,Avalanche,Rock Slide,Timid,0,210,330,45,365,45,335,,,,,,,,,
Deoxys-Defense,386,--,Pressure,Psycho Boost,Signal Beam,Psych Up,Psycho Shift,Jolly,0,233,145,348,130,348,217,,,,,,,,,
Deoxys-Speed,386,--,Pressure,Psycho Boost,Focus Blast,Taunt,Skill Swap,Serious,0,210,195,185,195,185,365,,,,,,,,,
Turtwig,387,--,Shell Armor,Seed Bomb,Crunch,Curse,Synthesis,Adamant,31,314,224,196,113,146,98,,,,,,,,,
Grotle,388,--,Overgrow,Energy Ball,Earth Power,Superpower,Leech Seed,Quiet,31,313,214,227,229,187,97,,,,,,,,,
Torterra,389,--,Overgrow,Razor Leaf,Mud-Slap,Rock Tomb,Withdraw,Quiet,31,363,254,278,238,238,133,,,,,,,,,
Chimchar,390,--,Iron Fist,Fire Punch,Thunder Punch,Low Kick,Bulk Up,Jolly,31,250,194,146,136,124,220,,,,,,,,,
Monferno,391,--,Blaze,Close Combat,Fire Blast,Nasty Plot,Swords Dance,Hardy,31,294,174,171,174,171,197,,,,,,,,,
Infernape,392,--,Blaze,Heat Wave,Vacuum Wave,Taunt,Calm Mind,Impish,0,272,223,172,200,157,231,,,,,,,,,
Piplup,393,--,Torrent,Hydro Pump,Blizzard,Grass Knot,Agility,Modest,31,268,124,142,243,148,158,,,,,,,,,
Prinplup ,394,--,Torrent,Dive,Drill Peck,Brick Break,Feather Dance,Bold,31,332,180,202,178,220,146,,,,,,,,,
